Potential;Current
-0.05249;0.00552
-0.05142;0.00552
-0.05032;0.00551
-0.04922;0.00551
-0.04813;0.00551
-0.04618;0.00551
-0.04512;0.0055
-0.04405;0.0055
-0.04299;0.0055
-0.04191;0.0055
-0.04085;0.00549
-0.03978;0.00549
-0.03871;0.00549
-0.03764;0.00548
-0.03658;0.00548
-0.03551;0.00548
-0.03443;0.00548
-0.03338;0.00547
-0.0323;0.00547
-0.03124;0.00547
-0.03015;0.00546
-0.02909;0.00546
-0.02802;0.00546
-0.02695;0.00545
-0.02589;0.00545
-0.02482;0.00545
-0.02374;0.00544
-0.02267;0.00544
-0.0216;0.00544
-0.02053;0.00543
-0.01947;0.00543
-0.0184;0.00543
-0.01732;0.00542
-0.01626;0.00542
-0.0152;0.00542
-0.01413;0.00541
-0.01306;0.00541
-0.01198;0.0054
-0.01092;0.0054
-0.00986;0.0054
-0.00878;0.00539
-0.00771;0.00539
-0.00664;0.00539
-0.00559;0.00538
-0.0045;0.00538
-0.00344;0.00538
-0.00237;0.00537
-0.0013;0.00537
-2.38037e-4;0.00536
8.3313e-4;0.00536
0.00191;0.00536
0.00298;0.00535
0.00405;0.00535
0.00512;0.00534
0.0062;0.00534
0.00726;0.00534
0.00833;0.00533
0.00939;0.00533
0.01046;0.00532
0.01155;0.00532
0.01262;0.00532
0.01367;0.00531
0.01473;0.00531
0.01581;0.0053
0.01687;0.0053
0.01796;0.0053
0.01903;0.00529
0.0201;0.00529
0.02115;0.00529
0.02223;0.00528
0.0233;0.00528
0.02437;0.00527
0.02544;0.00527
0.02649;0.00527
0.02758;0.00526
0.02864;0.00526
0.02972;0.00525
0.03078;0.00525
0.03185;0.00525
0.03291;0.00524
0.03399;0.00524
0.03505;0.00524
0.03612;0.00523
0.0372;0.00523
0.03826;0.00522
0.03932;0.00522
0.04039;0.00522
0.04145;0.00521
0.04253;0.00521
0.04362;0.0052
0.04467;0.0052
0.04573;0.0052
0.04683;0.00519
0.04787;0.00519
0.04895;0.00519
0.05001;0.00518
0.0511;0.00518
0.05215;0.00517
0.05222;0.00517
0.05331;0.00517
0.05441;0.00516
0.05545;0.00516
0.05655;0.00516
0.05762;0.00515
0.05865;0.00515
0.05978;0.00514
0.06082;0.00514
0.06186;0.00514
0.06293;0.00513
0.06403;0.00513
0.06512;0.00513
0.06613;0.00512
0.06717;0.00512
0.0683;0.00511
0.06937;0.00511
0.07043;0.00511
0.07147;0.0051
0.07254;0.0051
0.07364;0.0051
0.07471;0.00509
0.07571;0.00509
0.07681;0.00509
0.07791;0.00508
0.07895;0.00508
0.08005;0.00508
0.08105;0.00507
0.08221;0.00507
0.08325;0.00507
0.08432;0.00506
0.08536;0.00506
0.08643;0.00506
0.08749;0.00505
0.08856;0.00505
0.08966;0.00505
0.09073;0.00504
0.09183;0.00504
0.09286;0.00504
0.0939;0.00503
0.09494;0.00503
0.09607;0.00502
0.09714;0.00502
0.09821;0.00502
0.09927;0.00501
0.10031;0.00501
0.10141;0.00501
0.10245;0.005
0.10352;0.005
0.10455;0.005
0.10571;0.00499
0.10672;0.00499
0.10788;0.00499
0.10889;0.00499
0.10995;0.00498
0.11096;0.00498
0.11209;0.00498
0.11316;0.00497
0.1142;0.00497
0.1153;0.00497
0.11636;0.00496
0.1174;0.00496
0.1185;0.00496
0.11951;0.00495
0.12061;0.00495
0.1217;0.00495
0.1228;0.00494
0.12381;0.00494
0.12491;0.00494
0.12604;0.00493
0.12704;0.00493
0.12811;0.00493
0.12915;0.00492
0.13028;0.00492
0.13132;0.00492
0.13239;0.00492
0.13345;0.00491
0.13449;0.00491
0.13556;0.00491
0.13663;0.0049
0.13766;0.0049
0.13882;0.0049
0.13986;0.0049
0.14084;0.00489
0.14194;0.00489
0.14304;0.00489
0.1441;0.00488
0.14517;0.00488
0.14624;0.00488
0.14734;0.00487
0.14841;0.00487
0.14948;0.00487
0.15054;0.00487
0.15164;0.00486
0.15265;0.00486
0.15369;0.00486
0.15482;0.00485
0.15585;0.00485
0.15692;0.00485
0.15805;0.00484
0.15906;0.00484
0.16013;0.00484
0.16116;0.00483
0.16229;0.00483
0.16333;0.00483
0.16446;0.00482
0.16547;0.00482
0.1666;0.00482
0.16763;0.00482
0.16867;0.00481
0.16977;0.00481
0.17084;0.00481
0.17191;0.0048
0.17294;0.0048
0.17404;0.0048
0.17511;0.0048
0.17618;0.00479
0.17725;0.00479
0.17828;0.00479
0.17941;0.00479
0.18042;0.00478
0.18152;0.00478
0.18256;0.00478
0.18365;0.00478
0.18469;0.00478
0.18576;0.00477
0.18686;0.00477
0.18793;0.00477
0.18893;0.00477
0.19003;0.00476
0.19113;0.00476
0.1922;0.00476
0.19327;0.00476
0.19434;0.00476
0.19537;0.00475
0.19641;0.00475
0.19757;0.00475
0.19861;0.00475
0.19968;0.00474
0.20074;0.00474
0.20181;0.00474
0.20288;0.00474
0.20389;0.00473
0.20502;0.00473
0.20609;0.00473
0.20715;0.00472
0.20825;0.00472
0.20926;0.00472
0.21033;0.00472
0.21136;0.00471
0.21246;0.00471
0.21353;0.00471
0.21457;0.00471
0.2157;0.0047
0.21674;0.0047
0.21783;0.0047
0.2189;0.00469
0.21997;0.00469
0.2211;0.00468
0.22208;0.00468
0.22318;0.00468
0.22427;0.00468
0.22531;0.00468
0.22635;0.00467
0.22745;0.00467
0.22849;0.00467
0.22949;0.00467
0.23062;0.00466
0.23172;0.00466
0.23273;0.00466
0.23383;0.00466
0.23492;0.00465
0.23602;0.00465
0.23706;0.00465
0.2381;0.00465
0.23917;0.00464
0.24023;0.00464
0.24133;0.00464
0.24234;0.00464
0.24341;0.00464
0.24454;0.00463
0.24554;0.00463
0.24664;0.00463
0.24768;0.00463
0.24881;0.00462
0.24988;0.00462
0.25089;0.00462
0.25198;0.00462
0.25308;0.00461
0.25415;0.00461
0.25519;0.00461
0.25626;0.00461
0.25735;0.0046
0.25839;0.0046
0.25946;0.0046
0.2605;0.0046
0.2616;0.0046
0.26263;0.00459
0.26379;0.00459
0.2648;0.00459
0.26593;0.00459
0.26697;0.00459
0.26797;0.00458
0.2691;0.00458
0.27017;0.00458
0.2713;0.00458
0.27228;0.00458
0.27335;0.00457
0.27438;0.00457
0.27545;0.00457
0.27655;0.00457
0.27762;0.00457
0.27869;0.00456
0.27975;0.00456
0.28082;0.00456
0.28186;0.00456
0.28299;0.00455
0.284;0.00455
0.28513;0.00455
0.28622;0.00455
0.2872;0.00455
0.2883;0.00455
0.28937;0.00454
0.29041;0.00454
0.2915;0.00454
0.29257;0.00454
0.29367;0.00453
0.29468;0.00453
0.29578;0.00453
0.29684;0.00453
0.29788;0.00453
0.29898;0.00452
0.30008;0.00452
0.30112;0.00452
0.30225;0.00452
0.30328;0.00452
0.30429;0.00451
0.30536;0.00451
0.3064;0.00451
0.30753;0.00451
0.30856;0.00451
0.30969;0.00451
0.31076;0.0045
0.3118;0.0045
0.3129;0.0045
0.31396;0.0045
0.315;0.0045
0.31613;0.00449
0.31717;0.00449
0.31824;0.00449
0.31927;0.00449
0.32037;0.00449
0.32144;0.00448
0.32251;0.00448
0.32355;0.00448
0.32462;0.00448
0.32571;0.00448
0.32678;0.00448
0.32785;0.00447
0.32892;0.00447
0.32999;0.00447
0.33105;0.00447
0.33212;0.00447
0.33322;0.00447
0.33426;0.00446
0.33536;0.00446
0.3364;0.00446
0.33746;0.00446
0.3385;0.00445
0.33963;0.00445
0.34058;0.00445
0.34177;0.00445
0.3428;0.00445
0.34387;0.00444
0.345;0.00444
0.34601;0.00444
0.34708;0.00444
0.34814;0.00444
0.34921;0.00443
0.35031;0.00443
0.35132;0.00443
0.35245;0.00443
0.35349;0.00443
0.35449;0.00443
0.35559;0.00442
0.35666;0.00442
0.35776;0.00442
0.3588;0.00442
0.35986;0.00442
0.36093;0.00441
0.36206;0.00441
0.36313;0.00441
0.36417;0.00441
0.3652;0.00441
0.36627;0.00441
0.36731;0.00441
0.36838;0.0044
0.36951;0.0044
0.37057;0.0044
0.37164;0.0044
0.37265;0.0044
0.37378;0.00439
0.37482;0.00439
0.37592;0.00439
0.37695;0.00439
0.37808;0.00439
0.37909;0.00438
0.38019;0.00438
0.38129;0.00438
0.38235;0.00438
0.38339;0.00438
0.38446;0.00438
0.38553;0.00437
0.38654;0.00437
0.3877;0.00437
0.38873;0.00437
0.38983;0.00437
0.39081;0.00437
0.39194;0.00436
0.39291;0.00436
0.39401;0.00436
0.39511;0.00436
0.39621;0.00436
0.39725;0.00435
0.39835;0.00435
0.39935;0.00435
0.39832;0.00432
0.39722;0.0043
0.39621;0.00428
0.39514;0.00426
0.39404;0.00423
0.39304;0.00422
0.39197;0.0042
0.39084;0.00418
0.3898;0.00416
0.38876;0.00414
0.3877;0.00412
0.38666;0.00411
0.38562;0.00409
0.38452;0.00407
0.38339;0.00406
0.38239;0.00404
0.38132;0.00403
0.38028;0.00401
0.37918;0.004
0.37814;0.00398
0.37704;0.00397
0.37598;0.00396
0.37494;0.00395
0.3739;0.00393
0.37277;0.00392
0.37173;0.00391
0.37067;0.00389
0.36963;0.00388
0.36847;0.00387
0.36746;0.00386
0.36642;0.00385
0.36536;0.00383
0.36435;0.00382
0.36322;0.00381
0.36212;0.0038
0.36108;0.00379
0.36002;0.00378
0.35898;0.00377
