0RPM	0RPM	0RPM	100RPM	100RPM	100RPM	400RPM	400RPM	400RPM	900RPM	900RPM	900RPM	1600RPM	1600RPM	1600RPM	2500RPM	2500RPM	2500RPM
0.317383	-1.87622E-5	9.9884E-8	0.317383	-1.74591E-5	1.9516E-6	0.317383	-1.75781E-5	2.07825E-6	0.317383	-1.85425E-5	4.70886E-6	0.317383	-2.17926E-5	7.08923E-6	0.317383	-2.41821E-5	7.89185E-6
0.314941	-2.01965E-5	3.70178E-7	0.314941	-1.89362E-5	2.67273E-6	0.314941	-1.90765E-5	2.81311E-6	0.314941	-2.1051E-5	4.26331E-6	0.314941	-2.43866E-5	7.17773E-6	0.314941	-2.65533E-5	8.94165E-6
0.3125	-2.21588E-5	7.18384E-8	0.3125	-2.11395E-5	2.15363E-6	0.3125	-2.1228E-5	2.34528E-6	0.3125	-2.29156E-5	5.26733E-6	0.3125	-2.71606E-5	7.7179E-6	0.3125	-2.96448E-5	8.81042E-6
0.310059	-2.38892E-5	3.79333E-7	0.310059	-2.30469E-5	2.85461E-6	0.310059	-2.32788E-5	2.96356E-6	0.310059	-2.56561E-5	4.80652E-6	0.310059	-2.98798E-5	8.22449E-6	0.310059	-3.26569E-5	9.78088E-6
0.307617	-2.60529E-5	6.71692E-8	0.307617	-2.53571E-5	2.48016E-6	0.307617	-2.54547E-5	2.74261E-6	0.307617	-2.79572E-5	5.71289E-6	0.307617	-3.33923E-5	8.63342E-6	0.307617	-3.60596E-5	1.026E-5
0.305176	-2.80823E-5	3.82385E-7	0.305176	-2.77588E-5	2.96692E-6	0.305176	-2.80823E-5	3.06E-6	0.305176	-3.08441E-5	5.50537E-6	0.305176	-3.62885E-5	9.37805E-6	0.305176	-3.98712E-5	1.09222E-5
0.302734	-3.05176E-5	1.19232E-7	0.302734	-3.01788E-5	2.91504E-6	0.302734	-3.03192E-5	3.25836E-6	0.302734	-3.38074E-5	6.30493E-6	0.302734	-4.03351E-5	9.56116E-6	0.302734	-4.33624E-5	1.15448E-5
0.300293	-3.29254E-5	3.28979E-7	0.300293	-3.31909E-5	3.15247E-6	0.300293	-3.35419E-5	3.25226E-6	0.300293	-3.6734E-5	6.39343E-6	0.300293	-4.3454E-5	1.04279E-5	0.300293	-4.7818E-5	1.21582E-5
0.297852	-3.55743E-5	1.53809E-7	0.297852	-3.56873E-5	3.41064E-6	0.297852	-3.59039E-5	3.78876E-6	0.297852	-4.03778E-5	6.8573E-6	0.297852	-4.78973E-5	1.05713E-5	0.297852	-5.15442E-5	1.30432E-5
0.29541	-3.84796E-5	2.677E-7	0.29541	-3.93219E-5	3.41492E-6	0.29541	-3.96851E-5	3.59772E-6	0.29541	-4.3512E-5	7.42493E-6	0.29541	-5.17883E-5	1.19537E-5	0.29541	-5.65491E-5	1.3269E-5
0.292969	-4.12994E-5	2.29553E-7	0.292969	-4.2041E-5	3.89648E-6	0.292969	-4.24255E-5	4.35486E-6	0.292969	-4.79004E-5	7.70874E-6	0.292969	-5.6488E-5	1.19904E-5	0.292969	-6.08521E-5	1.47919E-5
0.290527	-4.46655E-5	1.98029E-7	0.290527	-4.60571E-5	3.70514E-6	0.290527	-4.64691E-5	4.01917E-6	0.290527	-5.12695E-5	8.56323E-6	0.290527	-6.07605E-5	1.30707E-5	0.290527	-6.64673E-5	1.51245E-5
0.288086	-4.77783E-5	2.99683E-7	0.288086	-4.91943E-5	4.422E-6	0.288086	-4.98047E-5	4.96216E-6	0.288086	-5.61829E-5	8.6792E-6	0.288086	-6.57349E-5	1.34583E-5	0.288086	-7.15637E-5	1.67114E-5
