Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs
707,9480591	5,209049559E-4	707,9480591	0,003523720894	707,9480591	0,004777132999	707,9480591	0,006166457199	707,9480591	0,004482009914	707,9480591	0,003468112089	707,9480591	0,002999464516	707,9480591	0,003506053705
706,9431152	4,260071728E-4	706,9431152	0,003286930267	706,9431152	0,004436137155	706,9431152	0,006028844509	706,9431152	0,00428058859	706,9431152	0,002906447276	706,9431152	0,002852220088	706,9431152	0,002983721439
705,9378052	3,047847713E-4	705,9378052	0,003406483447	705,9378052	0,00468933396	705,9378052	0,006221756339	705,9378052	0,004465323407	705,9378052	0,003433226375	705,9378052	0,002967405366	705,9378052	0,003204282373
704,9321289	4,951442243E-4	704,9321289	0,003306414466	704,9321289	0,004483317491	704,9321289	0,006158580538	704,9321289	0,004428501241	704,9321289	0,003297337564	704,9321289	0,003028997686	704,9321289	0,003293659771
704,0698853	3,285654238E-4	704,0698853	0,003351985244	704,0698853	0,004379653372	704,0698853	0,006059214473	704,0698853	0,00430764677	704,0698853	0,002767857397	704,0698853	0,002545226365	704,0698853	0,002854747698
703,0635986	3,649901773E-4	703,0635986	0,003269455396	703,0635986	0,004089790862	703,0635986	0,006131669506	703,0635986	0,004391551018	703,0635986	0,003399595851	703,0635986	0,002874420956	703,0635986	0,003266012529
702,0570068	5,151255173E-4	702,0570068	0,003795030061	702,0570068	0,004852882121	702,0570068	0,006300542038	702,0570068	0,004685617983	702,0570068	0,003436696483	702,0570068	0,003194320714	702,0570068	0,003390908241
701,0501099	2,695306612E-4	701,0501099	0,003355872119	701,0501099	0,004523152951	701,0501099	0,006071289536	701,0501099	0,00425018603	701,0501099	0,003058245871	701,0501099	0,002829134697	701,0501099	0,003158101346
700,0428467	3,077896545E-4	700,0428467	0,003039971925	700,0428467	0,00436051283	700,0428467	0,005893820431	700,0428467	0,004267151468	700,0428467	0,003073835513	700,0428467	0,002539237728	700,0428467	0,003092736471
699,0352173	2,539120032E-4	699,0352173	0,003310144413	699,0352173	0,004430253059	699,0352173	0,005880254786	699,0352173	0,004378188867	699,0352173	0,003113828367	699,0352173	0,002613399643	699,0352173	0,002944574459
698,0273438	4,911791766E-4	698,0273438	0,00337368995	698,0273438	0,004738870542	698,0273438	0,006122113205	698,0273438	0,004399683326	698,0273438	0,003130906029	698,0273438	0,002737638773	698,0273438	0,003191452473
697,019043	3,077637521E-4	697,019043	0,003137632972	697,019043	0,004461060744	697,019043	0,006092473865	697,019043	0,004691767506	697,019043	0,003035879461	697,019043	0,002849432174	697,019043	0,003123996779
696,010498	2,054537472E-4	696,010498	0,003167018993	696,010498	0,004205069505	696,010498	0,006105363835	696,010498	0,004262550734	696,010498	0,003056681715	696,010498	0,002543455921	696,010498	0,002973530209
695,0015869	3,41233419E-4	695,0015869	0,003271281021	695,0015869	0,004419139121	695,0015869	0,005932053551	695,0015869	0,004200966097	695,0015869	0,002996206284	695,0015869	0,00234654895	695,0015869	0,002703046193
693,9923096	2,419199736E-4	693,9923096	0,00327175064	693,9923096	0,004517006222	693,9923096	0,005743440706	693,9923096	0,004264093004	693,9923096	0,002817878965	693,9923096	0,002389416099	693,9923096	0,003024487989
692,9827881	3,580210323E-4	692,9827881	0,003327542916	692,9827881	0,00413340563	692,9827881	0,005919614807	692,9827881	0,004037271254	692,9827881	0,002933289623	692,9827881	0,002493856242	692,9827881	0,002949812915
691,9729004	2,007920993E-4	691,9729004	0,003603219055	691,9729004	0,004400206264	691,9729004	0,006111926865	691,9729004	0,004207500722	691,9729004	0,003115027677	691,9729004	0,002300667111	691,9729004	0,003029675456
690,9626465	3,834886884E-4	690,9626465	0,003571611131	690,9626465	0,004531810991	690,9626465	0,00612631347	690,9626465	0,004266367294	690,9626465	0,002903398126	690,9626465	0,002498802962	690,9626465	0,003154529026
